gender,career,years_of_experience,salary
male,consulting,3,74483
male,consulting,3,66085
male,consulting,3,71650
male,consulting,3,75166
male,consulting,3,53998
male,consulting,3,82873
male,consulting,3,59287
male,consulting,4,87000
male,consulting,4,59000
male,consulting,4,70000
male,consulting,4,77000
male,consulting,4,78000
male,consulting,4,84000
male,consulting,4,85000
male,consulting,4,76000
male,consulting,4,67000
male,consulting,4,66000
male,consulting,4,55000
male,consulting,4,59979
male,consulting,4,85408
male,consulting,4,65439
male,consulting,4,63808
male,consulting,4,65353
male,consulting,4,59566
male,consulting,4,61603
male,consulting,4,83691
male,consulting,4,66499
male,consulting,4,56362
male,consulting,4,59636
male,consulting,4,73759
male,consulting,4,57665
male,consulting,4,82181
male,consulting,4,80316
male,consulting,4,57204
male,consulting,4,78771
male,consulting,4,76229
male,consulting,4,81774
male,consulting,4,72340
male,consulting,5,59000
male,consulting,5,89000
male,consulting,5,84000
male,consulting,5,83000
male,consulting,5,82000
male,consulting,5,81000
male,consulting,5,65000
male,consulting,5,66000
male,consulting,5,75000
male,consulting,5,74000
male,consulting,5,83259
male,consulting,5,69155
male,consulting,5,72435
male,consulting,5,60316
male,consulting,5,60025
male,consulting,5,87950
male,consulting,5,63447
male,consulting,5,68234
male,consulting,5,64806
male,consulting,5,73288
male,consulting,5,60456
male,consulting,5,75292
male,consulting,5,66165
male,consulting,5,67518
male,consulting,5,83173
male,consulting,5,61887
male,consulting,5,60062
male,consulting,5,60021
male,consulting,5,83889
male,consulting,5,65007
male,consulting,6,96000
male,consulting,6,57000
male,consulting,6,95000
male,consulting,6,90000
male,consulting,6,91000
male,consulting,6,89000
male,consulting,6,87000
male,consulting,6,76000
male,consulting,6,74000
male,consulting,6,67000
male,consulting,6,85666
male,consulting,6,82258
male,consulting,6,75032
male,consulting,6,67075
male,consulting,6,67539
male,consulting,6,71683
male,consulting,6,84410
male,consulting,6,91826
male,consulting,6,70309
male,consulting,6,76914
male,consulting,6,71117
male,consulting,6,88214
male,consulting,6,83705
male,consulting,6,81329
male,consulting,6,71138
male,consulting,6,76204
male,consulting,6,95323
male,consulting,6,73048
male,consulting,6,93971
male,consulting,6,78419
male,consulting,7,71000
male,consulting,7,104000
male,consulting,7,103000
male,consulting,7,97000
male,consulting,7,96000
male,consulting,7,95000
male,consulting,7,74000
male,consulting,7,91000
male,consulting,7,85000
male,consulting,7,80000
male,consulting,7,80093
male,consulting,7,97906
male,consulting,7,91441
male,consulting,7,84327
male,consulting,7,74530
male,consulting,7,84434
male,consulting,7,102124
male,consulting,7,99557
male,consulting,7,82744
male,consulting,7,91490
male,consulting,7,88209
male,consulting,7,101024
male,consulting,7,77928
male,consulting,7,102624
male,consulting,7,78370
male,consulting,7,86045
male,consulting,7,90537
male,consulting,7,72669
male,consulting,7,83371
male,consulting,7,93162
male,consulting,8,104000
male,consulting,8,75000
male,consulting,8,80000
male,consulting,8,82588
male,consulting,8,79867
male,consulting,8,80156
male,consulting,8,96625
male,consulting,8,88597
male,consulting,8,94294
male,consulting,8,81004
male,consulting,8,100326
male,consulting,8,98288
male,consulting,8,93794
male,consulting,8,83514
male,consulting,8,82923
male,consulting,8,77394
male,consulting,8,97118
male,consulting,8,95635
male,consulting,8,102675
male,consulting,8,81985
male,consulting,8,76138
male,consulting,8,87113
male,consulting,8,79080
male,consulting,8,83952
male,consulting,8,78811
male,consulting,8,90166
male,consulting,8,94345
male,consulting,8,81260
male,consulting,8,91459
male,consulting,8,101434
male,consulting,9,83419
male,consulting,9,87846
male,consulting,9,82421
male,consulting,9,97107
male,consulting,9,85486
male,consulting,9,88565
male,consulting,9,95871
male,consulting,9,81777
male,consulting,9,92839
male,consulting,9,101106
male,consulting,9,79154
male,consulting,9,96786
male,consulting,9,94812
male,consulting,9,105862
male,consulting,9,93247
male,consulting,9,86280
male,consulting,9,81684
male,consulting,9,96348
male,consulting,9,88001
male,consulting,9,105591
male,consulting,9,104756
male,consulting,9,82503
male,consulting,9,83508
male,consulting,9,87202
male,consulting,9,88359
male,consulting,9,98702
male,consulting,9,99734
male,consulting,9,88113
male,consulting,9,104966
male,consulting,9,81918
male,consulting,10,99130
male,consulting,10,88092
male,consulting,10,92165
male,consulting,10,110033
male,consulting,10,101554
male,consulting,10,100624
male,consulting,10,103624
male,consulting,10,95930
male,consulting,10,88232
male,consulting,10,85340
male,consulting,10,100580
male,consulting,10,104496
male,consulting,10,92633
male,consulting,10,102022
male,consulting,10,92776
male,consulting,10,86456
male,consulting,10,104833
male,consulting,10,85082
male,consulting,10,97800
male,consulting,10,110865
male,consulting,10,89937
male,consulting,10,85881
male,consulting,10,95638
male,consulting,10,99349
male,consulting,10,103825
male,consulting,10,86548
male,consulting,10,107080
male,consulting,10,103945
male,consulting,10,108665
male,consulting,10,111447
male,consulting,11,87579
male,consulting,11,114000
male,consulting,11,109265
male,consulting,11,99061
male,consulting,11,107000
male,consulting,11,103253
male,consulting,11,92360
male,consulting,11,111845
male,consulting,11,107641
male,consulting,11,111170
male,consulting,11,103835
male,consulting,11,105492
male,consulting,11,104524
male,consulting,11,102604
male,consulting,11,103683
male,consulting,11,110293
male,consulting,11,102510
male,consulting,11,107783
male,consulting,11,109550
male,consulting,11,112080
male,consulting,11,108511
male,consulting,11,98877
male,consulting,11,110366
male,consulting,11,105882
male,consulting,11,105956
male,consulting,11,88838
male,consulting,11,112555
male,consulting,11,89359
male,consulting,11,107453
male,consulting,11,102096
male,consulting,12,114000
male,consulting,12,89000
male,consulting,12,94686
male,consulting,12,96940
male,consulting,12,111762
male,consulting,12,94999
male,consulting,12,92397
male,consulting,12,94021
male,consulting,12,90596
male,consulting,12,90044
male,consulting,12,89511
male,consulting,12,89900
male,consulting,12,91899
male,consulting,12,112143
male,consulting,12,90827
male,consulting,12,91453
male,consulting,12,89086
male,consulting,12,93917
male,consulting,12,94301
male,consulting,12,95746
male,consulting,12,112345
male,consulting,12,95053
male,consulting,12,94091
male,consulting,12,89953
male,consulting,12,99982
male,consulting,12,98582
male,consulting,12,110960
male,consulting,12,113445
male,consulting,12,89270
male,consulting,12,107569
male,consulting,13,112000
male,consulting,13,90000
male,consulting,13,98980
male,consulting,13,95241
male,consulting,13,106381
male,consulting,13,92208
male,consulting,13,93731
male,consulting,13,101828
male,consulting,13,98153
male,consulting,13,95167
male,consulting,13,102611
male,consulting,13,95036
male,consulting,13,106489
male,consulting,13,90075
male,consulting,13,109968
male,consulting,13,102153
male,consulting,13,108438
male,consulting,13,109573
male,consulting,13,105192
male,consulting,13,100397
male,consulting,13,97276
male,consulting,13,106651
male,consulting,13,106266
male,consulting,13,107566
male,consulting,13,93584
male,consulting,13,94151
male,consulting,13,102381
male,consulting,13,95248
male,consulting,13,95643
male,consulting,13,97190
male,consulting,14,115000
male,consulting,14,86000
male,consulting,14,86476
male,consulting,14,107661
male,consulting,14,103121
male,consulting,14,111441
male,consulting,14,95931
male,consulting,14,90299
male,consulting,14,114721
male,consulting,14,113682
male,consulting,14,86379
male,consulting,14,94992
male,consulting,14,91833
male,consulting,14,97252
male,consulting,14,97931
male,consulting,14,103853
male,consulting,14,102454
male,consulting,14,90287
male,consulting,14,90448
male,consulting,14,90239
male,consulting,14,99175
male,consulting,14,96021
male,consulting,14,99770
male,consulting,14,91903
male,consulting,14,99294
male,consulting,14,113331
male,consulting,14,95654
male,consulting,14,108156
male,consulting,14,101497
male,consulting,14,93285
male,consulting,15,120000
male,consulting,15,91000
male,consulting,15,114493
male,consulting,15,93127
male,consulting,15,102754
male,consulting,15,102276
male,consulting,15,104083
male,consulting,15,102578
male,consulting,15,93001
male,consulting,15,91543
male,consulting,15,99008
male,consulting,15,98834
male,consulting,15,97943
male,consulting,15,107037
male,consulting,15,108155
male,consulting,15,98833
male,consulting,15,105221
male,consulting,15,109590
male,consulting,15,111520
male,consulting,15,108890
male,consulting,15,105534
male,consulting,15,114405
male,consulting,15,96798
male,consulting,15,91919
male,consulting,15,108930
male,consulting,15,101187
male,consulting,15,98698
male,consulting,15,105488
male,consulting,15,119608
male,consulting,15,109956
male,consulting,16,97000
male,consulting,16,123000
male,consulting,16,106778
male,consulting,16,120701
male,consulting,16,109843
male,consulting,16,118766
male,consulting,16,115834
male,consulting,16,120485
male,consulting,16,110613
male,consulting,16,114585
male,consulting,16,113313
male,consulting,16,98259
male,consulting,16,122143
male,consulting,16,98950
male,consulting,16,102464
male,consulting,16,112539
male,consulting,16,108583
male,consulting,16,120305
male,consulting,16,110253
male,consulting,16,103733
male,consulting,16,104306
male,consulting,16,97918
male,consulting,16,110756
male,consulting,16,99399
male,consulting,16,106469
male,consulting,16,109112
male,consulting,16,112668
male,consulting,16,105153
male,consulting,16,100932
male,consulting,16,111449
male,consulting,17,125000
male,consulting,17,87000
male,consulting,17,119942
male,consulting,17,120791
male,consulting,17,121880
male,consulting,17,98567
male,consulting,17,115962
male,consulting,17,96692
male,consulting,17,108902
male,consulting,17,119579
male,consulting,17,98873
male,consulting,17,101801
male,consulting,17,92213
male,consulting,17,104969
male,consulting,17,124342
male,consulting,17,123177
male,consulting,17,105610
male,consulting,17,114888
male,consulting,17,89578
male,consulting,17,118126
male,consulting,17,106671
male,consulting,17,114297
male,consulting,17,91140
male,consulting,17,87693
male,consulting,17,97363
male,consulting,17,97127
male,consulting,17,89670
male,consulting,17,87419
male,consulting,17,107920
male,consulting,17,122787
male,consulting,18,125000
male,consulting,18,102000
male,consulting,18,123726
male,consulting,18,112949
male,consulting,18,115976
male,consulting,18,115258
male,consulting,18,110072
male,consulting,18,112488
male,consulting,18,107221
male,consulting,18,110785
male,consulting,18,108858
male,consulting,18,107369
male,consulting,18,110983
male,consulting,18,104065
male,consulting,18,116878
male,consulting,18,110567
male,consulting,18,118606
male,consulting,18,104550
male,consulting,18,124319
male,consulting,18,105836
male,consulting,18,118003
male,consulting,18,123284
male,consulting,18,102862
male,consulting,18,106121
male,consulting,18,102669
male,consulting,18,124727
male,consulting,18,122412
male,consulting,18,103027
male,consulting,18,109899
male,consulting,18,106253
male,consulting,19,115033
male,consulting,19,124243
male,consulting,19,111593
male,consulting,19,120465
male,consulting,19,123895
male,consulting,19,106677
male,consulting,19,113712
male,consulting,19,116789
male,consulting,19,121198
male,consulting,19,106404
male,consulting,19,108403
male,consulting,19,115884
male,consulting,19,108438
male,consulting,19,120667
male,consulting,19,119290
male,consulting,19,109041
male,consulting,19,108042
male,consulting,19,122577
male,consulting,19,105140
male,consulting,19,122180
male,consulting,19,125000
male,consulting,19,105000
male,consulting,19,122942
male,consulting,19,109757
male,consulting,19,108011
male,consulting,19,113782
male,consulting,19,114910
male,consulting,19,118975
male,consulting,19,122492
male,consulting,19,111524
male,consulting,20,127000
male,consulting,20,106000
male,consulting,20,120673
male,consulting,20,108231
male,consulting,20,108828
male,consulting,20,111511
male,consulting,20,107864
male,consulting,20,123982
male,consulting,20,121226
male,consulting,20,126180
male,consulting,20,126410
male,consulting,20,116988
male,consulting,20,106116
male,consulting,20,110243
male,consulting,20,109614
male,consulting,20,116533
male,consulting,20,107801
male,consulting,20,119341
male,consulting,20,118433
male,consulting,20,110374
male,consulting,20,124996
male,consulting,20,111810
male,consulting,20,122207
male,consulting,20,124879
male,consulting,20,111199
male,consulting,20,117477
male,consulting,20,110464
male,consulting,20,112206
male,consulting,20,116967
male,consulting,20,107938
female,consulting,0,47000
female,consulting,0,48000
female,consulting,0,48500
female,consulting,0,50000
female,consulting,0,75000
female,consulting,0,66000
female,consulting,0,72000
female,consulting,0,57000
female,consulting,0,73081
female,consulting,0,49769
female,consulting,0,67924
female,consulting,0,63535
female,consulting,0,55742
female,consulting,0,72581
female,consulting,0,51326
female,consulting,0,58858
female,consulting,0,62595
female,consulting,0,69844
female,consulting,0,70096
female,consulting,0,57028
female,consulting,0,53026
female,consulting,0,67330
female,consulting,0,64687
female,consulting,0,69468
female,consulting,0,73086
female,consulting,0,48369
female,consulting,0,73613
female,consulting,0,53080
female,consulting,0,73176
female,consulting,0,56000
female,consulting,1,64889
female,consulting,1,59371
female,consulting,1,40332
female,consulting,1,56709
female,consulting,1,55342
female,consulting,1,39944
female,consulting,1,73978
female,consulting,1,67562
female,consulting,1,57089
female,consulting,1,58567
female,consulting,1,56419
female,consulting,1,47405
female,consulting,1,52617
female,consulting,1,56009
female,consulting,1,64763
female,consulting,1,75611
female,consulting,1,49826
female,consulting,1,73837
female,consulting,1,70873
female,consulting,1,50044
female,consulting,1,71333
female,consulting,1,64609
female,consulting,1,48382
female,consulting,1,41173
female,consulting,1,74210
female,consulting,1,73221
female,consulting,1,59641
female,consulting,1,75987
female,consulting,1,50080
female,consulting,1,48085
female,consulting,2,53327
female,consulting,2,64886
female,consulting,2,68460
female,consulting,2,56725
female,consulting,2,50524
female,consulting,2,64469
female,consulting,2,81447
female,consulting,2,82584
female,consulting,2,45830
female,consulting,2,47833
female,consulting,2,48547
female,consulting,2,76821
female,consulting,2,76921
female,consulting,2,52053
female,consulting,2,84712
female,consulting,2,73318
female,consulting,2,82815
female,consulting,2,56014
female,consulting,2,53528
female,consulting,2,50809
female,consulting,2,65811
female,consulting,2,77223
female,consulting,2,51322
female,consulting,2,76050
female,consulting,2,84174
female,consulting,2,53157
female,consulting,2,58793
female,consulting,2,74951
female,consulting,2,56417
female,consulting,2,49113
female,consulting,2,51744
female,consulting,3,73991
female,consulting,3,63732
female,consulting,3,70723
female,consulting,3,64820
female,consulting,3,55109
female,consulting,3,60881
female,consulting,3,54093
female,consulting,3,75964
female,consulting,3,61919
female,consulting,3,79703
female,consulting,3,65970
female,consulting,3,56072
female,consulting,3,83089
female,consulting,3,55033
female,consulting,3,49065
female,consulting,3,54219
female,consulting,3,73445
female,consulting,3,74564
female,consulting,3,69887
female,consulting,3,75256
female,consulting,3,65198
female,consulting,3,79076
female,consulting,3,68585
female,consulting,3,66352
female,consulting,3,76936
female,consulting,3,57311
female,consulting,3,65140
female,consulting,3,82874
female,consulting,3,56027
female,consulting,3,71229
female,consulting,3,82426
female,consulting,4,63293
female,consulting,4,66680
female,consulting,4,82569
female,consulting,4,80914
female,consulting,4,66901
female,consulting,4,74716
female,consulting,4,64119
female,consulting,4,74664
female,consulting,4,77762
female,consulting,4,86636
female,consulting,4,80635
female,consulting,4,76367
female,consulting,4,77667
female,consulting,4,76836
female,consulting,4,86264
female,consulting,4,84794
female,consulting,4,81043
female,consulting,4,79931
female,consulting,4,63556
female,consulting,4,77327
female,consulting,4,61859
female,consulting,4,75172
female,consulting,4,69644
female,consulting,4,67527
female,consulting,4,66050
female,consulting,4,84797
female,consulting,4,82091
female,consulting,4,68439
female,consulting,4,77424
female,consulting,4,76149
female,consulting,4,71499
female,consulting,5,76896
female,consulting,5,77161
female,consulting,5,78225
female,consulting,5,65605
female,consulting,5,81964
female,consulting,5,62642
female,consulting,5,86313
female,consulting,5,75334
female,consulting,5,74867
female,consulting,5,87011
female,consulting,5,66772
female,consulting,5,71567
female,consulting,5,71415
female,consulting,5,78397
female,consulting,5,73072
female,consulting,5,83131
female,consulting,5,79637
female,consulting,5,71077
female,consulting,5,70328
female,consulting,5,67496
female,consulting,5,82778
female,consulting,5,77497
female,consulting,5,81388
female,consulting,5,74921
female,consulting,5,66789
female,consulting,5,78775
female,consulting,5,68830
female,consulting,5,73632
female,consulting,5,80623
female,consulting,5,65489
female,consulting,6,77934
female,consulting,6,68001
female,consulting,6,64256
female,consulting,6,65208
female,consulting,6,47198
female,consulting,6,66101
female,consulting,6,76107
female,consulting,6,68186
female,consulting,6,55810
female,consulting,6,57573
female,consulting,6,80809
female,consulting,6,46968
female,consulting,6,64791
female,consulting,6,65937
female,consulting,6,71958
female,consulting,6,74435
female,consulting,6,76842
female,consulting,6,50965
female,consulting,6,75584
female,consulting,6,57972
female,consulting,6,62850
female,consulting,6,70294
female,consulting,6,55865
female,consulting,6,52140
female,consulting,6,76074
female,consulting,6,80305
female,consulting,6,48699
female,consulting,6,65059
female,consulting,6,51847
female,consulting,6,70521
female,consulting,7,70704
female,consulting,7,73858
female,consulting,7,81656
female,consulting,7,82938
female,consulting,7,83374
female,consulting,7,67799
female,consulting,7,72573
female,consulting,7,85865
female,consulting,7,70655
female,consulting,7,68096
female,consulting,7,72650
female,consulting,7,64950
female,consulting,7,83431
female,consulting,7,63012
female,consulting,7,85336
female,consulting,7,77100
female,consulting,7,64519
female,consulting,7,84834
female,consulting,7,82720
female,consulting,7,74073
female,consulting,7,71022
female,consulting,7,69317
female,consulting,7,77241
female,consulting,7,84847
female,consulting,7,65385
female,consulting,7,81673
female,consulting,7,63406
female,consulting,7,79524
female,consulting,7,72417
female,consulting,7,70437
female,consulting,8,72836
female,consulting,8,70456
female,consulting,8,81404
female,consulting,8,62925
female,consulting,8,78433
female,consulting,8,81386
female,consulting,8,67189
female,consulting,8,82455
female,consulting,8,78162
female,consulting,8,68015
female,consulting,8,76956
female,consulting,8,66812
female,consulting,8,70657
female,consulting,8,73593
female,consulting,8,70620
female,consulting,8,85190
female,consulting,8,70385
female,consulting,8,69050
female,consulting,8,83817
female,consulting,8,81481
female,consulting,8,64316
female,consulting,8,81645
female,consulting,8,85756
female,consulting,8,73390
female,consulting,8,63503
female,consulting,8,67111
female,consulting,8,74997
female,consulting,8,75485
female,consulting,8,66233
female,consulting,8,64606
female,consulting,9,94751
female,consulting,9,76543
female,consulting,9,71162
female,consulting,9,81767
female,consulting,9,91507
female,consulting,9,74240
female,consulting,9,76690
female,consulting,9,86618
female,consulting,9,94398
female,consulting,9,89155
female,consulting,9,65949
female,consulting,9,83053
female,consulting,9,73015
female,consulting,9,75487
female,consulting,9,66397
female,consulting,9,71603
female,consulting,9,62631
female,consulting,9,62877
female,consulting,9,77400
female,consulting,9,82962
female,consulting,9,66233
female,consulting,9,69187
female,consulting,9,90737
female,consulting,9,76697
female,consulting,9,80842
female,consulting,9,83606
female,consulting,9,82110
female,consulting,9,89435
female,consulting,9,79814
female,consulting,9,81654
female,consulting,10,73423
female,consulting,10,68184
female,consulting,10,64483
female,consulting,10,76192
female,consulting,10,80061
female,consulting,10,94847
female,consulting,10,93118
female,consulting,10,77083
female,consulting,10,74771
female,consulting,10,67276
female,consulting,10,94624
female,consulting,10,74258
female,consulting,10,63737
female,consulting,10,70874
female,consulting,10,86434
female,consulting,10,67303
female,consulting,10,88275
female,consulting,10,80957
female,consulting,10,64869
female,consulting,10,76715
female,consulting,10,73909
female,consulting,10,70529
female,consulting,10,77397
female,consulting,10,83401
female,consulting,10,79068
female,consulting,10,74261
female,consulting,10,78528
female,consulting,10,69619
female,consulting,10,71189
female,consulting,10,79410
female,consulting,11,78745
female,consulting,11,70382
female,consulting,11,64663
female,consulting,11,67351
female,consulting,11,79797
female,consulting,11,104954
female,consulting,11,73688
female,consulting,11,95340
female,consulting,11,90181
female,consulting,11,99141
female,consulting,11,64356
female,consulting,11,69369
female,consulting,11,81035
female,consulting,11,74691
female,consulting,11,100377
female,consulting,11,87073
female,consulting,11,96153
female,consulting,11,90266
female,consulting,11,78576
female,consulting,11,97220
female,consulting,11,96962
female,consulting,11,64272
female,consulting,11,77133
female,consulting,11,73386
female,consulting,11,98924
female,consulting,11,99413
female,consulting,11,71412
female,consulting,11,73391
female,consulting,11,96426
female,consulting,11,103889
female,consulting,12,95027
female,consulting,12,104639
female,consulting,12,86385
female,consulting,12,104158
female,consulting,12,74570
female,consulting,12,81227
female,consulting,12,87023
female,consulting,12,110054
female,consulting,12,77611
female,consulting,12,110518
female,consulting,12,106539
female,consulting,12,87649
female,consulting,12,75766
female,consulting,12,80391
female,consulting,12,94572
female,consulting,12,108547
female,consulting,12,81161
female,consulting,12,81297
female,consulting,12,87464
female,consulting,12,81659
female,consulting,12,104730
female,consulting,12,102393
female,consulting,12,95438
female,consulting,12,78865
female,consulting,12,75201
female,consulting,12,101483
female,consulting,12,72321
female,consulting,12,96494
female,consulting,12,72266
female,consulting,12,88371
female,consulting,13,87368
female,consulting,13,97291
female,consulting,13,76592
female,consulting,13,92177
female,consulting,13,91692
female,consulting,13,76534
female,consulting,13,93430
female,consulting,13,101622
female,consulting,13,96180
female,consulting,13,80105
female,consulting,13,103219
female,consulting,13,108173
female,consulting,13,107316
female,consulting,13,101135
female,consulting,13,92534
female,consulting,13,85350
female,consulting,13,89334
female,consulting,13,77336
female,consulting,13,89364
female,consulting,13,87154
female,consulting,13,83463
female,consulting,13,74822
female,consulting,13,103751
female,consulting,13,85442
female,consulting,13,84107
female,consulting,13,75732
female,consulting,13,76575
female,consulting,13,100440
female,consulting,13,107005
female,consulting,13,86092
female,consulting,14,105765
female,consulting,14,101549
female,consulting,14,93482
female,consulting,14,105551
female,consulting,14,89223
female,consulting,14,107542
female,consulting,14,109098
female,consulting,14,87056
female,consulting,14,76169
female,consulting,14,83481
female,consulting,14,93524
female,consulting,14,104903
female,consulting,14,95447
female,consulting,14,83884
female,consulting,14,98003
female,consulting,14,82882
female,consulting,14,109951
female,consulting,14,97354
female,consulting,14,88755
female,consulting,14,103099
female,consulting,14,83163
female,consulting,14,95849
female,consulting,14,93219
female,consulting,14,79713
female,consulting,14,100517
female,consulting,14,93265
female,consulting,14,95900
female,consulting,14,84326
female,consulting,14,87555
female,consulting,14,78074
female,consulting,15,92343
female,consulting,15,95733
female,consulting,15,83295
female,consulting,15,94530
female,consulting,15,96718
female,consulting,15,109641
female,consulting,15,90284
female,consulting,15,80034
female,consulting,15,89989
female,consulting,15,86431
female,consulting,15,88882
female,consulting,15,97210
female,consulting,15,87016
female,consulting,15,100346
female,consulting,15,85254
female,consulting,15,80893
female,consulting,15,109600
female,consulting,15,101537
female,consulting,15,77899
female,consulting,15,98667
female,consulting,15,78261
female,consulting,15,98493
female,consulting,15,98674
female,consulting,15,86373
female,consulting,15,97359
female,consulting,15,96942
female,consulting,15,82516
female,consulting,15,97920
female,consulting,15,104984
female,consulting,15,79418
female,consulting,16,82166
female,consulting,16,81614
female,consulting,16,112073
female,consulting,16,113257
female,consulting,16,81542
female,consulting,16,104044
female,consulting,16,109559
female,consulting,16,79172
female,consulting,16,98496
female,consulting,16,101654
female,consulting,16,90576
female,consulting,16,106977
female,consulting,16,89233
female,consulting,16,84192
female,consulting,16,104470
female,consulting,16,90122
female,consulting,16,101404
female,consulting,16,109740
female,consulting,16,105975
female,consulting,16,84852
female,consulting,16,102278
female,consulting,16,103303
female,consulting,16,98346
female,consulting,16,95100
female,consulting,16,98604
female,consulting,16,94898
female,consulting,16,113538
female,consulting,16,98577
female,consulting,16,88836
female,consulting,16,109809
female,consulting,17,112498
female,consulting,17,103946
female,consulting,17,80653
female,consulting,17,86757
female,consulting,17,92952
female,consulting,17,88063
female,consulting,17,86504
female,consulting,17,108287
female,consulting,17,80124
female,consulting,17,93305
female,consulting,17,108957
female,consulting,17,105480
female,consulting,17,90937
female,consulting,17,114347
female,consulting,17,87215
female,consulting,17,106109
female,consulting,17,81777
female,consulting,17,82854
female,consulting,17,110328
female,consulting,17,99373
female,consulting,17,93246
female,consulting,17,98917
female,consulting,17,81309
female,consulting,17,83463
female,consulting,17,109187
female,consulting,17,110095
female,consulting,17,105236
female,consulting,17,100584
female,consulting,17,81228
female,consulting,17,89074
female,consulting,18,83136
female,consulting,18,93549
female,consulting,18,107657
female,consulting,18,82821
female,consulting,18,91610
female,consulting,18,94944
female,consulting,18,80200
female,consulting,18,80716
female,consulting,18,94632
female,consulting,18,95772
female,consulting,18,96088
female,consulting,18,106112
female,consulting,18,112200
female,consulting,18,90400
female,consulting,18,90173
female,consulting,18,111541
female,consulting,18,111513
female,consulting,18,110285
female,consulting,18,90060
female,consulting,18,84897
female,consulting,18,110987
female,consulting,18,91921
female,consulting,18,89418
female,consulting,18,101610
female,consulting,18,108402
female,consulting,18,88169
female,consulting,18,106895
female,consulting,18,104964
female,consulting,18,87253
female,consulting,18,105729
female,consulting,19,106601
female,consulting,19,111799
female,consulting,19,93416
female,consulting,19,102657
female,consulting,19,97449
female,consulting,19,108199
female,consulting,19,112522
female,consulting,19,100549
female,consulting,19,103659
female,consulting,19,109478
female,consulting,19,101974
female,consulting,19,96055
female,consulting,19,108143
female,consulting,19,100579
female,consulting,19,99348
female,consulting,19,107561
female,consulting,19,98495
female,consulting,19,112763
female,consulting,19,108357
female,consulting,19,106261
female,consulting,19,104443
female,consulting,19,86720
female,consulting,19,112977
female,consulting,19,107675
female,consulting,19,87738
female,consulting,19,87280
female,consulting,19,99662
female,consulting,19,80441
female,consulting,20,107173
female,consulting,20,114770
female,consulting,20,107121
female,consulting,20,112609
female,consulting,20,93290
female,consulting,20,100936
female,consulting,20,88713
female,consulting,20,88376
female,consulting,20,104603
female,consulting,20,96108
female,consulting,20,111988
female,consulting,20,113800
female,consulting,20,90636
female,consulting,20,100985
female,consulting,20,112001
female,consulting,20,106383
female,consulting,20,90445
female,consulting,20,94189
female,consulting,20,102105
female,consulting,20,102268
female,consulting,20,95526
female,consulting,20,105675
female,consulting,20,105614
female,consulting,20,90087
female,consulting,20,86945
female,consulting,20,105493
female,consulting,20,105795
female,consulting,20,105458
female,consulting,20,103573
female,consulting,20,107858
male,se,0,43000
male,se,0,74000
male,se,0,70329
male,se,0,45046
male,se,0,65177
male,se,0,63882
male,se,0,54014
